s	H	alpha	beta
1.0	0.0	0.0	0.0
0.95	-0.05049964	0.0489921	-0.049244
0.91	-0.09161625	0.0867132	-0.0875342
0.9	-0.1019957	0.0959357	-0.0969508
0.86	-0.1439137	0.131981	-0.133983
0.81	-0.1972015	0.175106	-0.178821
0.8	-0.2079756	0.183469	-0.187591
0.76	-0.2514491	0.216032	-0.222001
0.71	-0.3066042	0.254696	-0.263476
0.66	-0.3625874	0.291033	-0.303189
0.61	-0.4192829	0.324976	-0.34108
0.56	-0.4765252	0.356447	-0.377083
0.51	-0.534079	0.385368	-0.411124
0.46	-0.5916122	0.411652	-0.443118
0.41	-0.6486568	0.435206	-0.47297
0.36	-0.7045561	0.455928	-0.500568
0.31	-0.7583927	0.473708	-0.525784
0.26	-0.8088704	0.488426	-0.548467
0.21	-0.8540629	0.499955	-0.568435
0.16	-0.8909109	0.508161	-0.585455
0.11	-0.9146267	0.512891	-0.599221
0.06	-0.9183646	0.513974	-0.60934
0.01	-0.8935524	0.511241	-0.615295
0.0	-0.8834314	0.510225	-0.615917
-0.0	-0.8834314	0.510225	-0.615917
-0.01	-0.8712512	0.509049	-0.616332
-0.05	-0.7954231	0.502759	-0.615675
-0.1	-0.5940421	0.491285	-0.608274
-0.11	-0.5306664	0.488525	-0.605627
-0.15	-0.08992297	0.476366	-0.58747
-0.151	-0.07055221	0.476056	-0.586704
-0.152	-0.05018645	0.475748	-0.585901
-0.153	-0.02867464	0.475443	-0.585055
-0.154	-0.005817617	0.47514	-0.584157
-0.155	0.0186578	0.474842	-0.583196
-0.156	0.04514638	0.47455	-0.582155
-0.157	0.07426169	0.474266	-0.581008
-0.158	0.1058094	0.473993	-0.579709
-0.159	0.1441191	0.47374	-0.578154
